game_id,season,week,completed,home_team,home_points,away_team,away_points,result,winner,mean_spread,proj_margin,abs_error,vegas_abs_error,sqd_error,vegas_sqd_error,straight_up_win,vegas_straight_up_win,ATS_win,AE_ATS_win
401635525,2024,1,TRUE,Georgia Tech,24,Florida State,21,-3,Georgia Tech,10.666666666666666,13.96470805635582,16.964708056355818,13.666666666666666,287.801319437384,186.77777777777777,0,0,0,0
401643696,2024,1,TRUE,Nevada,24,SMU,29,5,SMU,27.5,26.534896308323784,21.534896308323784,22.5,463.7517590102574,506.25,1,1,1,1
401640998,2024,1,TRUE,Jacksonville State,27,Coastal Carolina,55,28,Coastal Carolina,-3.5,-15.01918282258034,43.01918282258034,31.5,1850.6500907225911,992.25,0,0,0,0
401628448,2024,1,TRUE,Minnesota,17,North Carolina,19,2,North Carolina,0.3333333333333333,4.731332162442221,2.7313321624422207,1.6666666666666667,7.460175381591298,2.777777777777778,1,1,1,0
401628328,2024,1,TRUE,Oklahoma,51,Temple,3,-48,Oklahoma,-43,-50.53794055800984,2.5379405580098435,5,6.441142275991316,25,1,1,1,1
401628453,2024,1,TRUE,Michigan State,16,Florida Atlantic,10,-6,Michigan State,-12,3.1387538774800756,9.138753877480076,6,83.51682243315712,36,0,1,1,0
401628461,2024,1,TRUE,Wisconsin,28,Western Michigan,14,-14,Wisconsin,-24.166666666666668,-20.432247472369113,6.432247472369113,10.166666666666668,41.37380754579884,103.36111111111111,1,1,1,1
401634300,2024,1,TRUE,Stanford,27,TCU,34,7,TCU,8.333333333333334,23.394355923459077,16.394355923459077,1.333333333333334,268.77490614505774,1.7777777777777797,1,1,0,0
401628323,2024,1,TRUE,Georgia,34,Clemson,3,-31,Georgia,-11.666666666666666,-30.384132570373513,0.615867429626487,19.333333333333336,0.37929269087473594,373.7777777777779,1,1,1,1
401634305,2024,1,TRUE,Pittsburgh,55,Kent State,24,-31,Pittsburgh,-23.5,-24.730215649372063,6.269784350627937,7.5,39.31019580337898,56.25,1,1,1,1
401628457,2024,1,TRUE,West Virginia,12,Penn State,34,22,Penn State,8.333333333333334,11.048785601361072,10.951214398638928,13.666666666666666,119.9290968049566,186.77777777777777,1,1,1,1
401628333,2024,1,TRUE,Vanderbilt,34,Virginia Tech,27,-7,Vanderbilt,13.333333333333334,8.895865378356714,15.895865378356714,20.333333333333336,252.6785361268396,413.4444444444445,0,0,1,1
401628454,2024,1,TRUE,Nebraska,40,UTEP,7,-33,Nebraska,-27.5,-14.6880394786222,18.3119605213778,5.5,335.3278981364991,30.25,1,1,0,0
401628322,2024,1,TRUE,Florida,17,Miami,41,24,Miami,2.5,-7.711340833660887,31.711340833660888,21.5,1005.6091374686084,462.25,0,1,0,0
401634304,2024,1,TRUE,Syracuse,38,Ohio,22,-16,Syracuse,-17.333333333333332,4.353290577210639,20.35329057721064,1.333333333333332,414.2564373203714,1.7777777777777746,0,1,1,0
401644683,2024,1,TRUE,Northwestern,13,Miami (OH),6,-7,Northwestern,-3.5,8.133139608379196,15.133139608379196,3.5,229.01191440669524,12.25,0,1,0,0
401628331,2024,1,TRUE,Texas,52,Colorado State,0,-52,Texas,-35,-36.1153210251387,15.884678974861302,17,252.3230261344007,289,1,1,1,1
401628449,2024,1,TRUE,Indiana,31,Florida International,7,-24,Indiana,-23.833333333333332,-9.495128053532673,14.504871946467327,0.16666666666666785,210.39131018341487,0.02777777777777817,1,1,0,0
401628455,2024,1,TRUE,Ohio State,52,Akron,6,-46,Ohio State,-49.5,-46.29353250020308,0.293532500203078,3.5,0.08616132867546997,12.25,1,1,1,1
401643700,2024,1,TRUE,Georgia Southern,45,Boise State,56,11,Boise State,12.5,13.365148925429974,2.365148925429974,1.5,5.593929439462561,2.25,1,1,0,0
401628329,2024,1,TRUE,South Carolina,23,Old Dominion,19,-4,South Carolina,-20.333333333333332,-13.426420843343084,9.4264208433430845,16.333333333333332,88.85740991581295,266.7777777777777,1,1,1,1
401643775,2024,1,TRUE,South Alabama,38,North Texas,52,14,North Texas,-5.833333333333333,-20.481076379848027,34.48107637984803,19.833333333333332,1188.9446283129134,393.3611111111111,0,0,0,0
401628319,2024,1,TRUE,Alabama,63,Western Kentucky,0,-63,Alabama,-34.166666666666664,-18.366842125869795,44.633157874130205,28.833333333333336,1992.118781817031,831.3611111111112,1,1,0,0
401643701,2024,1,TRUE,Troy,26,Nevada,28,2,Nevada,-10.166666666666666,-25.71444061056822,27.71444061056822,12.166666666666666,768.0902183567131,148.02777777777777,0,0,0,0
401636611,2024,1,TRUE,Houston,7,UNLV,27,20,UNLV,-2.25,3.875670698412234,16.124329301587764,22.25,259.99399542604175,495.0625,1,0,1,1
401628452,2024,1,TRUE,Michigan,30,Fresno State,10,-20,Michigan,-21,-23.085907594568553,3.0859075945685532,1,9.522825682215874,1,1,1,0,0
401628332,2024,1,TRUE,Texas A&M,13,Notre Dame,23,10,Notre Dame,-2.6666666666666665,-8.284755408218988,18.284755408218988,12.666666666666666,334.33228033839356,160.44444444444443,0,0,0,0
401628459,2024,1,TRUE,Hawai'i,13,UCLA,16,3,UCLA,13.5,26.107732493018588,23.107732493018588,10.5,533.967300968907,110.25,1,1,0,0
401634302,2024,1,TRUE,Georgia Tech,35,Georgia State,12,-23,Georgia Tech,-20.5,-7.556342726289486,15.443657273710514,2.5,238.50654998783165,6.25,1,1,0,0
401643774,2024,1,TRUE,Charlotte,7,James Madison,30,23,James Madison,7,32.307913231464966,9.307913231464966,16,86.63724872448057,256,1,1,1,1
