id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner,payout,profit
401856777,2026,1,true,Cincinnati,fbs,34,Boston College,fbs,15,-19,Cincinnati,-7.0,,,-12.993883271893555,6.006116728106445,12.0,36.07343815164007,144.0,1,1,1,1,0.0,0.0
401856777,2026,1,true,Cincinnati,fbs,34,Boston College,fbs,15,-19,Cincinnati,-7.0,-270,220,-12.993883271893555,6.006116728106445,12.0,36.07343815164007,144.0,1,1,1,1,1.3703703703703702,0.37037037037037024
401856667,2026,1,true,Texas,fbs,59,Texas State,fbs,7,-52,Texas,-29.5,-9000,2500,-13.836512748214748,38.163487251785256,22.5,1456.4517592171758,506.25,1,1,0,0,1.011111111111111,0.011111111111111072
401856667,2026,1,true,Texas,fbs,59,Texas State,fbs,7,-52,Texas,-29.5,,,-13.836512748214748,38.163487251785256,22.5,1456.4517592171758,506.25,1,1,0,0,0.0,0.0
401856667,2026,1,true,Texas,fbs,59,Texas State,fbs,7,-52,Texas,-29.5,-10000,2500,-13.836512748214748,38.163487251785256,22.5,1456.4517592171758,506.25,1,1,0,0,1.01,0.010000000000000009
401856636,2026,1,true,Auburn,fbs,17,Baylor,fbs,16,-1,Auburn,-6.5,-270,220,-11.264286747298526,10.264286747298526,5.5,105.35558243076815,30.25,1,1,0,0,1.3703703703703702,0.37037037037037024
401856636,2026,1,true,Auburn,fbs,17,Baylor,fbs,16,-1,Auburn,-6.5,,,-11.264286747298526,10.264286747298526,5.5,105.35558243076815,30.25,1,1,0,0,0.0,0.0
401858433,2026,1,true,Oregon,fbs,34,Boise State,fbs,27,-7,Oregon,-24.5,-2800,1300,-23.683752233871257,16.683752233871257,17.5,278.34758860120417,306.25,1,1,1,1,1.0357142857142858,0.03571428571428581
401858433,2026,1,true,Oregon,fbs,34,Boise State,fbs,27,-7,Oregon,-25.0,-3300,1100,-23.683752233871257,16.683752233871257,18.0,278.34758860120417,324.0,1,1,1,1,1.0303030303030303,0.030303030303030276
401858433,2026,1,true,Oregon,fbs,34,Boise State,fbs,27,-7,Oregon,-24.5,,,-23.683752233871257,16.683752233871257,17.5,278.34758860120417,306.25,1,1,1,1,0.0,0.0
401856772,2026,1,true,Tulsa,fbs,24,Oklahoma State,fbs,10,-14,Tulsa,13.5,410,-550,-5.44174729110247,8.55825270889753,27.5,73.24368942935192,756.25,1,0,1,1,5.1,4.1
401856772,2026,1,true,Tulsa,fbs,24,Oklahoma State,fbs,10,-14,Tulsa,13.5,,,-5.44174729110247,8.55825270889753,27.5,73.24368942935192,756.25,1,0,1,1,0.0,0.0
401856772,2026,1,true,Tulsa,fbs,24,Oklahoma State,fbs,10,-14,Tulsa,13.0,390,-550,-5.44174729110247,8.55825270889753,27.0,73.24368942935192,729.0,1,0,1,1,4.9,3.9000000000000004
401858426,2026,1,true,Iowa,fbs,40,Northern Illinois,fbs,0,-40,Iowa,-32.0,-100000,4500,-24.885746773713397,15.114253226286603,8.0,228.440650588315,64.0,1,1,0,0,1.001,0.0009999999999998899
401858426,2026,1,true,Iowa,fbs,40,Northern Illinois,fbs,0,-40,Iowa,-31.5,,,-24.885746773713397,15.114253226286603,8.5,228.440650588315,72.25,1,1,0,0,0.0,0.0
401858426,2026,1,true,Iowa,fbs,40,Northern Illinois,fbs,0,-40,Iowa,-31.5,-10000,3000,-24.885746773713397,15.114253226286603,8.5,228.440650588315,72.25,1,1,0,0,1.01,0.010000000000000009
401860878,2026,1,true,Colorado State,fbs,35,Wyoming,fbs,13,-22,Colorado State,-2.5,-142,120,-6.077602983948392,15.922397016051608,19.5,253.52272673676916,380.25,1,1,1,1,1.704225352112676,0.704225352112676
401860878,2026,1,true,Colorado State,fbs,35,Wyoming,fbs,13,-22,Colorado State,-2.5,,,-6.077602983948392,15.922397016051608,19.5,253.52272673676916,380.25,1,1,1,1,0.0,0.0
401860878,2026,1,true,Colorado State,fbs,35,Wyoming,fbs,13,-22,Colorado State,-3.0,-180,155,-6.077602983948392,15.922397016051608,19.0,253.52272673676916,361.0,1,1,1,1,1.5555555555555556,0.5555555555555556
401856668,2026,1,true,Texas A&M,fbs,50,Missouri State,fbs,0,-50,Texas A&M,-39.166666666666664,,,-37.23550912925908,12.764490870740921,10.833333333333336,162.9322271892283,117.36111111111116,1,1,0,0,0.0,0.0
401862699,2026,1,true,South Florida,fbs,19,Florida International,fbs,9,-10,South Florida,-14.5,-460,340,-21.42897759324041,11.428977593240411,4.5,130.62152882679138,20.25,1,1,0,0,1.2173913043478262,0.21739130434782616
401862699,2026,1,true,South Florida,fbs,19,Florida International,fbs,9,-10,South Florida,-14.5,-650,470,-21.42897759324041,11.428977593240411,4.5,130.62152882679138,20.25,1,1,0,0,1.1538461538461537,0.15384615384615374
401862699,2026,1,true,South Florida,fbs,19,Florida International,fbs,9,-10,South Florida,-14.5,,,-21.42897759324041,11.428977593240411,4.5,130.62152882679138,20.25,1,1,0,0,0.0,0.0
