school,classification,conference,VoA_Rating_Ovr,VoA_Ranking_Ovr
Southeast Missouri State,fcs,OVC,-17.27050329874738,209
North Alabama,fcs,UAC,-17.328395701430725,210
Lamar,fcs,Southland,-17.35664932415713,211
Gardner-Webb,fcs,OVC,-17.45513216758622,212
Northern Colorado,fcs,Big Sky,-17.460253030338865,213
Maine,fcs,Coastal Athletic,-17.554385287623607,214
Stonehill,fcs,NEC,-17.611658424647857,215
Bethune-Cookman,fcs,SWAC,-17.634386275559493,216
Furman,fcs,Southern,-17.94981385346098,217
Northern Iowa,fcs,MVFC,-17.955593327832357,218
Charleston Southern,fcs,OVC,-18.071677185368465,219
New Hampshire,fcs,Coastal Athletic,-18.11556870932604,220
UL Monroe,fbs,Sun Belt,-18.238909697334616,221
Southern,fcs,SWAC,-18.2653137326791,222
Robert Morris,fcs,NEC,-18.334518675476218,223
Hampton,fcs,Coastal Athletic,-18.353477880040458,224
Eastern Illinois,fcs,OVC,-18.45074915589233,225
Indiana State,fcs,MVFC,-18.53894670420788,226
Arkansas-Pine Bluff,fcs,SWAC,-18.608258583937033,227
Davidson,fcs,Pioneer,-18.731481990417905,228
UAlbany,fcs,Coastal Athletic,-19.012812087371685,229
Central Connecticut,fcs,NEC,-19.03647819839734,230
Florida A&M,fcs,SWAC,-19.092315861317445,231
UT Martin,fcs,OVC,-19.300082781971376,232
Fordham,fcs,Patriot,-19.605044091485276,233
Weber State,fcs,Big Sky,-19.69640200377295,234
Howard,fcs,MEAC,-19.730040200606243,235
Campbell,fcs,Coastal Athletic,-19.751100101036492,236
Houston Christian,fcs,Southland,-19.953213541169273,237
The Citadel,fcs,Southern,-20.06115608120649,238
Holy Cross,fcs,Patriot,-20.150571149726396,239
Eastern Washington,fcs,Big Sky,-20.18260255400824,240
Kent State,fbs,Mid-American,-20.244249628018164,241
Valparaiso,fcs,Pioneer,-20.342771153252915,242
Nicholls,fcs,Southland,-20.85030311273864,243
Merrimack,fcs,FCS Independents,-21.038813812378173,244
Wagner,fcs,NEC,-21.052320690632452,245
Akron,fbs,Mid-American,-21.25983165119052,246
Murray State,fcs,MVFC,-21.55937343572582,247
Morehead State,fcs,Pioneer,-21.569940050432045,248
Tennessee State,fcs,OVC,-21.893211458514166,249
Princeton,fcs,Ivy,-22.000886707874603,250
Mississippi Valley State,fcs,SWAC,-22.31937279156966,251
Utah Tech,fcs,Big Sky,-22.507343150302276,252
Samford,fcs,Southern,-23.04303291182641,253
North Carolina A&T,fcs,Coastal Athletic,-23.876002201904967,254
VMI,fcs,Southern,-23.915123114256826,255
Stetson,fcs,Pioneer,-25.16691503472977,256
Massachusetts,fbs,Mid-American,-25.199171970767477,257
Ball State,fbs,Mid-American,-25.208285025316197,258
Portland State,fcs,Big Sky,-25.93939554805414,259
Northwestern State,fcs,Southland,-30.03583015302093,260
