school,classification,conference,VoA_Rating_Ovr,VoA_Ranking_Ovr
Ohio State,fbs,Big Ten,37.39856588314001,1
Notre Dame,fbs,FBS Independents,35.609680692605274,2
Oregon,fbs,Big Ten,34.65529821223228,3
USC,fbs,Big Ten,34.33693425130239,4
Georgia,fbs,SEC,32.579402217399135,5
Ole Miss,fbs,SEC,32.3930231886869,6
Tennessee,fbs,SEC,32.168085989076644,7
Texas A&M,fbs,SEC,31.805560988715968,8
Indiana,fbs,Big Ten,31.12178816370891,9
Miami,fbs,ACC,30.4768639583284,10
Washington,fbs,Big Ten,30.238391403483114,11
Alabama,fbs,SEC,29.781628844858965,12
Texas,fbs,SEC,29.747367941635403,13
Missouri,fbs,SEC,26.203174678988677,14
Arkansas,fbs,SEC,25.730061533944305,15
SMU,fbs,ACC,24.236789469402332,16
Michigan,fbs,Big Ten,23.29880669178414,17
Penn State,fbs,Big Ten,23.220286019652157,18
Florida State,fbs,ACC,21.800302898169516,19
LSU,fbs,SEC,21.753724137602497,20
Oklahoma,fbs,SEC,21.42892159500653,21
Vanderbilt,fbs,SEC,21.15477126172835,22
Georgia Tech,fbs,ACC,20.354720681610473,23
Texas Tech,fbs,Big 12,19.954976689809527,24
Auburn,fbs,SEC,19.251842029952087,25
Cincinnati,fbs,Big 12,18.249721627423586,26
Florida,fbs,SEC,18.21025266884653,27
Texas State,fbs,Pac-12,17.91085519342065,28
Utah,fbs,Big 12,17.59544010119629,29
North Dakota State,fbs,Mountain West,17.500623341124626,30
Illinois,fbs,Big Ten,17.300182958213096,31
Clemson,fbs,ACC,17.051321776314406,32
Louisville,fbs,ACC,16.599197679352283,33
BYU,fbs,Big 12,15.552075955852649,34
TCU,fbs,Big 12,15.416752512264829,35
Kansas,fbs,Big 12,14.65455130992706,36
Memphis,fbs,American Athletic,14.069543147068481,37
NC State,fbs,ACC,13.965407020667092,38
Iowa,fbs,Big Ten,13.687654347881924,39
Pittsburgh,fbs,ACC,13.232759520078925,40
Kansas State,fbs,Big 12,13.123581111595538,41
Boise State,fbs,Pac-12,12.971545978361021,42
Iowa State,fbs,Big 12,12.955290653247017,43
South Carolina,fbs,SEC,12.700893144361142,44
UNLV,fbs,Mountain West,11.684495537993556,45
North Carolina,fbs,ACC,11.431792778076105,46
Mississippi State,fbs,SEC,11.369055643494887,47
South Florida,fbs,American Athletic,10.941134934417956,48
Nebraska,fbs,Big Ten,10.917048124271707,49
UConn,fbs,FBS Independents,10.879989647382915,50
Arizona,fbs,Big 12,10.721081221045472,51
UCF,fbs,Big 12,10.356323717260128,52
James Madison,fbs,Sun Belt,10.201421362492365,53
Wake Forest,fbs,ACC,9.737596459797658,54
Tulane,fbs,American Athletic,9.322651693929364,55
Old Dominion,fbs,Sun Belt,8.773990788400994,56
Virginia Tech,fbs,ACC,8.752035011519498,57
Arizona State,fbs,Big 12,8.403258865833086,58
East Carolina,fbs,American Athletic,8.075689980371177,59
Baylor,fbs,Big 12,7.98755528265356,60
North Texas,fbs,American Athletic,7.853834665471288,61
Kentucky,fbs,SEC,7.820780274468096,62
Boston College,fbs,ACC,7.25583835553003,63
Rutgers,fbs,Big Ten,6.86703198598635,64
Duke,fbs,ACC,6.007318276773015,65
South Alabama,fbs,Sun Belt,5.456362061222755,66
UTSA,fbs,American Athletic,5.446002467944249,67
Syracuse,fbs,ACC,5.280529040432983,68
Maryland,fbs,Big Ten,4.6966486070457645,69
California,fbs,ACC,4.529722142233286,70
Minnesota,fbs,Big Ten,4.02051051523941,71
Ohio,fbs,Mid-American,3.8839238945781176,72
Virginia,fbs,ACC,3.761497696762202,73
New Mexico,fbs,Mountain West,2.8741015279105167,74
Toledo,fbs,Mid-American,2.752469532969167,75
Utah State,fbs,Pac-12,2.5592017756222827,76
