school,classification,conference,VoA_Rating_Ovr,VoA_Ranking_Ovr
Ohio State,fbs,Big Ten,40.79143788563536,1
Georgia,fbs,SEC,36.61002255848418,2
Notre Dame,fbs,FBS Independents,34.616094237528245,3
Indiana,fbs,Big Ten,33.66558096984009,4
Tennessee,fbs,SEC,33.45378293797772,5
Miami,fbs,ACC,32.912174123776225,6
Alabama,fbs,SEC,32.593595357968375,7
Texas A&M,fbs,SEC,32.41793290716977,8
USC,fbs,Big Ten,31.914612287824628,9
Texas,fbs,SEC,30.620586429068776,10
Oregon,fbs,Big Ten,30.3160755587507,11
Ole Miss,fbs,SEC,30.03749336377884,12
LSU,fbs,SEC,26.17703455161842,13
Washington,fbs,Big Ten,25.201999270520243,14
Missouri,fbs,SEC,25.142570934858426,15
Utah,fbs,Big 12,24.893351451866685,16
Florida,fbs,SEC,24.201002359592103,17
Cincinnati,fbs,Big 12,23.241326668806586,18
Vanderbilt,fbs,SEC,23.12157556006679,19
SMU,fbs,ACC,23.108917055716283,20
BYU,fbs,Big 12,22.82990550299438,21
Auburn,fbs,SEC,21.753219449105764,22
Texas Tech,fbs,Big 12,21.466066800476938,23
Arkansas,fbs,SEC,20.9067828460664,24
Penn State,fbs,Big Ten,20.725347175318433,25
Kansas State,fbs,Big 12,20.519691405770292,26
TCU,fbs,Big 12,20.338271674638627,27
Mississippi State,fbs,SEC,19.51356796362017,28
Kansas,fbs,Big 12,19.028918162892964,29
South Carolina,fbs,SEC,19.003569334338273,30
Michigan,fbs,Big Ten,18.736534227790685,31
Oklahoma,fbs,SEC,18.295317346505552,32
Arizona State,fbs,Big 12,17.730655587153883,33
NC State,fbs,ACC,17.448747122655686,34
Florida State,fbs,ACC,17.320498741708644,35
Louisville,fbs,ACC,17.098411881513844,36
Iowa State,fbs,Big 12,16.72583522689601,37
UConn,fbs,FBS Independents,16.589348659383614,38
Houston,fbs,Big 12,15.792533917479977,39
Nebraska,fbs,Big Ten,15.45966877745684,40
Baylor,fbs,Big 12,15.280659306665349,41
Arizona,fbs,Big 12,14.794650651030977,42
Georgia Tech,fbs,ACC,14.378559661155792,43
Pittsburgh,fbs,ACC,14.028728433321616,44
Iowa,fbs,Big Ten,13.975623694608755,45
UCF,fbs,Big 12,13.847652459098562,46
James Madison,fbs,Sun Belt,13.420820076975659,47
Illinois,fbs,Big Ten,12.918103367833764,48
Memphis,fbs,American Athletic,12.715381005690872,49
Virginia Tech,fbs,ACC,11.179101076786033,50
North Carolina,fbs,ACC,11.051071770967445,51
North Dakota State,fbs,Mountain West,10.830659151775654,52
Wake Forest,fbs,ACC,10.429451517933826,53
Syracuse,fbs,ACC,10.22444457213437,54
South Florida,fbs,American Athletic,9.827525946857573,55
Kentucky,fbs,SEC,9.766716992306172,56
Old Dominion,fbs,Sun Belt,8.739430391880864,57
Virginia,fbs,ACC,8.585813672869076,58
Texas State,fbs,Pac-12,8.522888627055814,59
Maryland,fbs,Big Ten,8.372087706826091,60
East Carolina,fbs,American Athletic,8.169715160124946,61
Tulane,fbs,American Athletic,8.049847498373351,62
Duke,fbs,ACC,8.00579404462516,63
Clemson,fbs,ACC,7.696336105252916,64
Boise State,fbs,Pac-12,7.32181113959753,65
Rutgers,fbs,Big Ten,7.319486857549092,66
West Virginia,fbs,Big 12,7.161746061372147,67
Minnesota,fbs,Big Ten,6.968518985732754,68
UNLV,fbs,Mountain West,6.8521135149297985,69
North Texas,fbs,American Athletic,6.845936505093399,70
Michigan State,fbs,Big Ten,5.92907693795898,71
Colorado,fbs,Big 12,5.375973498356858,72
Northwestern,fbs,Big Ten,5.17877795805199,73
UTSA,fbs,American Athletic,5.077228835581153,74
Boston College,fbs,ACC,4.902919129847973,75
UCLA,fbs,Big Ten,4.8670418857232445,76
Navy,fbs,American Athletic,3.0328726395571497,77
New Mexico,fbs,Mountain West,2.933637606708926,78
Toledo,fbs,Mid-American,2.7254999317244035,79
Utah State,fbs,Pac-12,-0.4647715250139264,80
App State,fbs,Sun Belt,-0.6255437861913133,81
Wisconsin,fbs,Big Ten,-0.7965275258943407,82
Jacksonville State,fbs,Conference USA,-0.8272384346791064,83
Louisiana,fbs,Sun Belt,-0.9045805554820685,84
UAB,fbs,American Athletic,-0.9112420227199909,85
Air Force,fbs,Mountain West,-1.5976827773433904,86
Stanford,fbs,ACC,-1.8605471775891154,87
California,fbs,ACC,-1.94377647804734,88
South Alabama,fbs,Sun Belt,-2.06714530696307,89
Purdue,fbs,Big Ten,-2.4301897793495577,90
San Diego State,fbs,Pac-12,-2.9544717137686938,91
Georgia Southern,fbs,Sun Belt,-2.9946734574908476,92
Troy,fbs,Sun Belt,-3.56208826636216,93
Liberty,fbs,Conference USA,-3.80094789118435,94
Sacramento State,fbs,Mid-American,-3.8843062109965594,95
Temple,fbs,American Athletic,-3.9073491966376253,96
Miami (OH),fbs,Mid-American,-3.9456919450943815,97
Alabama State,fcs,SWAC,-4.0589886634864225,98
Ohio,fbs,Mid-American,-4.171883076591424,99
Fresno State,fbs,Pac-12,-4.463841360081762,100
Georgia State,fbs,Sun Belt,-4.752357877129889,101
Hawai'i,fbs,Mountain West,-4.825727464131102,102
San José State,fbs,Mountain West,-5.342520973230997,103
Florida Atlantic,fbs,American Athletic,-5.411168527247135,104
Montana State,fcs,Big Sky,-5.424746525640847,105
Western Kentucky,fbs,Conference USA,-5.658608538695468,106
Delaware,fbs,Conference USA,-5.736516479142267,107
Florida International,fbs,Conference USA,-6.053542904333373,108
Lehigh,fcs,Patriot,-6.580828023527704,109
Army,fbs,American Athletic,-6.739457296643774,110
Washington State,fbs,Pac-12,-6.825086872243528,111
Jackson State,fcs,SWAC,-6.836855514252012,112
Nevada,fbs,Mountain West,-7.008931511397627,113
Louisiana Tech,fbs,Sun Belt,-7.296293892527853,114
Tennessee Tech,fcs,Southern,-7.3365419492839425,115
Monmouth,fcs,Coastal Athletic,-7.3450086096317975,116
Mercer,fcs,Southern,-7.5963355627676625,117
Colorado State,fbs,Pac-12,-7.7580645195542,118
Rhode Island,fcs,Coastal Athletic,-8.009446995449444,119
Oregon State,fbs,Pac-12,-8.081218850538832,120
Southern Miss,fbs,Sun Belt,-8.113788279392342,121
Tarleton State,fcs,UAC,-8.337085809154285,122
Tulsa,fbs,American Athletic,-8.457305407910052,123
UTEP,fbs,Mountain West,-8.610833014399422,124
Oklahoma State,fbs,Big 12,-8.624811971534523,125
Presbyterian,fcs,Pioneer,-8.701661969629068,126
Austin Peay,fcs,UAC,-8.778799658492833,127
Arkansas State,fbs,Sun Belt,-8.85126952113681,128
South Carolina State,fcs,MEAC,-8.924593032828035,129
Coastal Carolina,fbs,Sun Belt,-9.284324770411079,130
Harvard,fcs,Ivy,-9.285222942629355,131
Wyoming,fbs,Mountain West,-9.389605110072349,132
Montana,fcs,Big Sky,-9.465287206541936,133
Missouri State,fbs,Conference USA,-9.54951909341305,134
Central Michigan,fbs,Mid-American,-9.752286069232685,135
SE Louisiana,fcs,Southland,-9.771980652194596,136
Yale,fcs,Ivy,-10.098876185076925,137
Northern Illinois,fbs,Mountain West,-10.345044956533215,138
Eastern Michigan,fbs,Mid-American,-10.49133847686764,139
Dayton,fcs,Pioneer,-10.844802517507638,140
East Tennessee State,fcs,Southern,-11.194595877129764,141
Kennesaw State,fbs,Conference USA,-11.241880975399607,142
Elon,fcs,Coastal Athletic,-11.256988007035957,143
Rice,fbs,American Athletic,-11.461477847184515,144
Dartmouth,fcs,Ivy,-11.548908503266743,145
North Dakota,fcs,MVFC,-11.573411149092843,146
South Dakota State,fcs,MVFC,-11.635723356540991,147
St. Thomas (MN),fcs,Pioneer,-11.662989128211303,148
Marshall,fbs,Sun Belt,-11.706764768848537,149
