# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = CFBVoP_WinProb_model
# start_datetime = 2026-09-17 19:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 2500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/sapj88b0.json
# init = 2 (Default)
# random
#   seed = 802
# output
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/CFBVoP_WinProbfx96ckxl/CFBVoP_WinProb-20260917150155_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=CFBVoP_WinProb.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_score
# Adaptation terminated
# Step size = 0.420159
# Diagonal elements of inverse mass matrix:
# 0.00531687, 5.01343e-05
-1227.4739,0.97429486,0.42015932,3,7,0,1229.101,0.2839648,0.067115218
-1226.7869,0.94744304,0.42015932,3,7,0,1228.2263,0.2273924,0.079585684
-1226.2615,1,0.42015932,2,3,0,1226.7172,0.18734546,0.077506095
-1226.4208,0.98640052,0.42015932,2,7,0,1226.6184,0.211069,0.074028735
-1226.7591,0.95856156,0.42015932,2,7,0,1228.4556,0.26856971,0.071821213
-1227.6201,0.86427235,0.42015932,2,3,0,1227.8994,0.2839665,0.076606723
-1227.3432,0.9891278,0.42015932,3,9,0,1228.6722,0.09542143,0.087452682
-1227.0257,0.92312671,0.42015932,3,7,0,1228.2226,0.10910004,0.081335699
-1227.3636,0.99654282,0.42015932,2,7,0,1227.9441,0.08519714,0.08404491
-1226.4881,0.99876927,0.42015932,3,15,0,1227.3941,0.24214168,0.073174612
-1226.7329,0.97007496,0.42015932,3,15,0,1226.9838,0.13169848,0.07966376
-1226.3747,1,0.42015932,2,3,0,1226.72,0.15721632,0.080218935
-1226.6239,0.97425882,0.42015932,2,3,0,1226.7985,0.13062169,0.082500106
-1227.0777,0.92722244,0.42015932,3,7,0,1227.5756,0.19451834,0.071867387
-1226.7695,0.98357303,0.42015932,2,7,0,1227.7255,0.20228974,0.08167789
-1226.6937,0.98588616,0.42015932,2,7,0,1227.108,0.17765148,0.074654625
-1226.9571,0.94644465,0.42015932,2,7,0,1227.7499,0.21175829,0.07122681
-1226.9571,0.93708527,0.42015932,1,1,0,1227.2909,0.21175829,0.07122681
-1226.2802,0.97826864,0.42015932,2,7,0,1227.6231,0.21232352,0.076027147
-1226.3193,0.99634505,0.42015932,2,7,0,1226.4822,0.1704254,0.080118717
-1227.433,0.92717977,0.42015932,3,11,0,1228.7131,0.28364029,0.067294248
-1226.7268,1,0.42015932,4,15,0,1227.6121,0.12215281,0.082214115
-1227.3975,0.95448937,0.42015932,3,7,0,1227.5745,0.23348052,0.06865459
-1228.7714,0.85485468,0.42015932,2,7,0,1229.9867,0.26121388,0.064071862
-1226.9946,1,0.42015932,2,7,0,1230.0793,0.23414634,0.070017992
-1226.9545,1,0.42015932,2,3,0,1227.0876,0.24485635,0.069834967
-1226.3065,0.98942379,0.42015932,2,7,0,1227.2359,0.20688399,0.07807913
-1226.4281,0.95866603,0.42015932,2,7,0,1227.2121,0.21278136,0.07389696
-1226.7638,0.98418246,0.42015932,2,7,0,1227.8979,0.25129936,0.070753213
-1228.2928,0.75130055,0.42015932,2,7,0,1230.4224,0.17346845,0.070180143
-1226.4115,0.85403147,0.42015932,2,7,0,1233.262,0.1626539,0.081506483
-1226.2486,0.99427092,0.42015932,3,7,0,1226.531,0.19492963,0.077588842
-1226.9673,0.92804435,0.42015932,3,7,0,1227.4193,0.26399425,0.06953976
-1226.6532,1,0.42015932,3,11,0,1227.0668,0.12773814,0.082378578
-1226.6081,0.98409533,0.42015932,3,9,0,1227.8188,0.25685371,0.073860767
-1227.483,0.88268229,0.42015932,3,7,0,1227.7677,0.27099225,0.077721614
-1226.9438,0.99479535,0.42015932,3,7,0,1227.8221,0.23147544,0.070327769
-1226.8256,0.98488754,0.42015932,3,7,0,1227.3385,0.25349734,0.076811513
-1226.8765,0.99753729,0.42015932,2,5,0,1227.3495,0.26076258,0.070069842
